,Title,Authors,Abstract,Subject,DownloadURL
0,Voyager: An Open-Ended Embodied Agent with Large Language Models,"['Guanzhi Wang', 'Yuqi Xie', 'Yunfan Jiang', 'Ajay Mandlekar', 'Chaowei Xiao', 'Yuke Zhu', 'Linxi Fan', 'Anima Anandkumar']","Abstract:  We introduce Voyager, the first LLM-powered embodied lifelong learning agent
in Minecraft that continuously explores the world, acquires diverse skills, and
makes novel discoveries without human intervention. Voyager consists of three
key components: 1) an automatic curriculum that maximizes exploration, 2) an
ever-growing skill library of executable code for storing and retrieving
complex behaviors, and 3) a new iterative prompting mechanism that incorporates
environment feedback, execution errors, and self-verification for program
improvement. Voyager interacts with GPT-4 via blackbox queries, which bypasses
the need for model parameter fine-tuning. The skills developed by Voyager are
temporally extended, interpretable, and compositional, which compounds the
agent's abilities rapidly and alleviates catastrophic forgetting. Empirically,
Voyager shows strong in-context lifelong learning capability and exhibits
exceptional proficiency in playing Minecraft. It obtains 3.3x more unique
items, travels 2.3x longer distances, and unlocks key tech tree milestones up
to 15.3x faster than prior SOTA. Voyager is able to utilize the learned skill
library in a new Minecraft world to solve novel tasks from scratch, while other
techniques struggle to generalize. We open-source our full codebase and prompts
at this https URL.

    ",Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/pdf/2305.16291
1,UpMax: User partitioning for MaxSAT,"['Pedro Orvalho', 'Vasco Manquinho', 'Ruben Martins']","Abstract:  It has been shown that Maximum Satisfiability (MaxSAT) problem instances can
be effectively solved by partitioning the set of soft clauses into several
disjoint sets. The partitioning methods can be based on clause weights (e.g.,
stratification) or based on graph representations of the formula. Afterwards, a
merge procedure is applied to guarantee that an optimal solution is found.
This paper proposes a new framework called UpMax that decouples the
partitioning procedure from the MaxSAT solving algorithms. As a result, new
partitioning procedures can be defined independently of the MaxSAT algorithm to
be used. Moreover, this decoupling also allows users that build new MaxSAT
formulas to propose partition schemes based on knowledge of the problem to be
solved. We illustrate this approach using several problems and show that
partitioning has a large impact on the performance of unsatisfiability-based
MaxSAT algorithms.

    ",Artificial Intelligence (cs.AI); Logic in Computer Science (cs.LO),https://arxiv.org/pdf/2305.16191
2,Understanding the Capabilities of Large Language Models for Automated Planning,"['Vishal Pallagani', 'Bharath Muppasani', 'Keerthiram Murugesan', 'Francesca Rossi', 'Biplav Srivastava', 'Lior Horesh', 'Francesco Fabiano', 'Andrea Loreggia']","Abstract:  Automated planning is concerned with developing efficient algorithms to
generate plans or sequences of actions to achieve a specific goal in a given
environment. Emerging Large Language Models (LLMs) can answer questions, write
high-quality programming code, and predict protein folding, showcasing their
versatility in solving various tasks beyond language-based problems. In this
paper, we aim to explore how LLMs can also be used for automated planning. To
do so, we seek to answer four key questions. Firstly, we want to understand the
extent to which LLMs can be used for plan generation. Secondly, we aim to
identify which pre-training data is most effective in facilitating plan
generation. Thirdly, we investigate whether fine-tuning or prompting is a more
effective approach for plan generation. Finally, we explore whether LLMs are
capable of plan generalization. By answering these questions, the study seeks
to shed light on the capabilities of LLMs in solving complex planning problems
and provide insights into the most effective approaches for using LLMs in this
context.

    ",Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.16151
3,A Diagnosis Algorithms for a Rotary Indexing Machine,"['Maria Krantz', 'Oliver Niggemann']","Abstract:  Rotary Indexing Machines (RIMs) are widely used in manufacturing due to their
ability to perform multiple production steps on a single product without manual
repositioning, reducing production time and improving accuracy and consistency.
Despite their advantages, little research has been done on diagnosing faults in
RIMs, especially from the perspective of the actual production steps carried
out on these machines. Long downtimes due to failures are problematic,
especially for smaller companies employing these machines. To address this gap,
we propose a diagnosis algorithm based on the product perspective, which
focuses on the product being processed by RIMs. The algorithm traces the steps
that a product takes through the machine and is able to diagnose possible
causes in case of failure. We also analyze the properties of RIMs and how these
influence the diagnosis of faults in these machines. Our contributions are
three-fold. Firstly, we provide an analysis of the properties of RIMs and how
they influence the diagnosis of faults in these machines. Secondly, we suggest
a diagnosis algorithm based on the product perspective capable of diagnosing
faults in such a machine. Finally, we test this algorithm on a model of a
rotary indexing machine, demonstrating its effectiveness in identifying faults
and their root causes.

    ",Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.15934
4,Learning Assumption-based Argumentation Frameworks,"['Maurizio Proietti', 'Francesca Toni']","Abstract:  We propose a novel approach to logic-based learning which generates
assumption-based argumentation (ABA) frameworks from positive and negative
examples, using a given background knowledge. These ABA frameworks can be
mapped onto logic programs with negation as failure that may be non-stratified.
Whereas existing argumentation-based methods learn exceptions to general rules
by interpreting the exceptions as rebuttal attacks, our approach interprets
them as undercutting attacks. Our learning technique is based on the use of
transformation rules, including some adapted from logic program transformation
rules (notably folding) as well as others, such as rote learning and assumption
introduction. We present a general strategy that applies the transformation
rules in a suitable order to learn stratified frameworks, and we also propose a
variant that handles the non-stratified case. We illustrate the benefits of our
approach with a number of examples, which show that, on one hand, we are able
to easily reconstruct other logic-based learning approaches and, on the other
hand, we can work out in a very simple and natural way problems that seem to be
hard for existing techniques.

    ",Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.15921
5,On the Planning Abilities of Large Language Models -- A Critical Investigation,"['Karthik Valmeekam', 'Matthew Marquez', 'Sarath Sreedharan', 'Subbarao Kambhampati']","Abstract:  Intrigued by the claims of emergent reasoning capabilities in LLMs trained on
general web corpora, in this paper, we set out to investigate their planning
capabilities. We aim to evaluate (1) the effectiveness of LLMs in generating
plans autonomously in commonsense planning tasks and (2) the potential of LLMs
as a source of heuristic guidance for other agents (AI planners) in their
planning tasks. We conduct a systematic study by generating a suite of
instances on domains similar to the ones employed in the International Planning
Competition and evaluate LLMs in two distinct modes: autonomous and heuristic.
Our findings reveal that LLMs' ability to generate executable plans
autonomously is rather limited, with the best model (GPT-4) having an average
success rate of ~12% across the domains. However, the results in the heuristic
mode show more promise. In the heuristic mode, we demonstrate that
LLM-generated plans can improve the search process for underlying sound
planners and additionally show that external verifiers can help provide
feedback on the generated plans and back-prompt the LLM for better plan
generation.

    ",Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.15771
6,TransWorldNG: Traffic Simulation via Foundation Model,"['Ding Wang', 'Xuhong Wang', 'Liang Chen', 'Shengyue Yao', 'Ming Jing', 'Honghai Li', 'Li Li', 'Shiqiang Bao', 'Fei-Yue Wang', 'Yilun Lin']","Abstract:  Traffic simulation is a crucial tool for transportation decision-making and
policy development. However, achieving realistic simulations in the face of the
high dimensionality and heterogeneity of traffic environments is a longstanding
challenge. In this paper, we present TransWordNG, a traffic simulator that uses
Data-driven algorithms and Graph Computing techniques to learn traffic dynamics
from real data. The functionality and structure of TransWorldNG are introduced,
which utilize a foundation model for transportation management and control. The
results demonstrate that TransWorldNG can generate more realistic traffic
patterns compared to traditional simulators. Additionally, TransWorldNG
exhibits better scalability, as it shows linear growth in computation time as
the scenario scale increases. To the best of our knowledge, this is the first
traffic simulator that can automatically learn traffic patterns from real-world
data and efficiently generate accurate and realistic traffic environments.

    ",Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.15743
7,Asking Before Action: Gather Information in Embodied Decision Making with Language Models,"['Xiaoyu Chen', 'Shenao Zhang', 'Pushi Zhang', 'Li Zhao', 'Jianyu Chen']","Abstract:  With strong capabilities of reasoning and a generic understanding of the
world, Large Language Models (LLMs) have shown great potential in building
versatile embodied decision making agents capable of performing diverse tasks.
However, when deployed to unfamiliar environments, we show that LLM agents face
challenges in efficiently gathering necessary information, leading to
suboptimal performance. On the other hand, in unfamiliar scenarios, human
individuals often seek additional information from their peers before taking
action, leveraging external knowledge to avoid unnecessary trial and error.
Building upon this intuition, we propose \textit{Asking Before Action} (ABA), a
method that empowers the agent to proactively query external sources for
pertinent information using natural language during their interactions in the
environment. In this way, the agent is able to enhance its efficiency and
performance by mitigating wasteful steps and circumventing the difficulties
associated with exploration in unfamiliar environments. We empirically evaluate
our method on an embodied decision making benchmark, ALFWorld, and demonstrate
that despite modest modifications in prompts, our method exceeds baseline LLM
agents by more than $40$%. Further experiments on two variants of ALFWorld
illustrate that by imitation learning, ABA effectively retains and reuses
queried and known information in subsequent tasks, mitigating the need for
repetitive inquiries. Both qualitative and quantitative results exhibit
remarkable performance on tasks that previous methods struggle to solve.

    ",Artificial Intelligence (cs.AI),https://arxiv.org/pdf/2305.15695
8,SPRING: GPT-4 Out-performs RL Algorithms by Studying Papers and Reasoning,"['Yue Wu', 'So Yeon Min', 'Shrimai Prabhumoye', 'Yonatan Bisk', 'Ruslan Salakhutdinov', 'Amos Azaria', 'Tom Mitchell', 'Yuanzhi Li']","Abstract:  Open-world survival games pose significant challenges for AI algorithms due
to their multi-tasking, deep exploration, and goal prioritization requirements.
Despite reinforcement learning (RL) being popular for solving games, its high
sample complexity limits its effectiveness in complex open-world games like
Crafter or Minecraft. We propose a novel approach, SPRING, to read the game's
original academic paper and use the knowledge learned to reason and play the
game through a large language model (LLM). Prompted with the LaTeX source as
game context and a description of the agent's current observation, our SPRING
framework employs a directed acyclic graph (DAG) with game-related questions as
nodes and dependencies as edges. We identify the optimal action to take in the
environment by traversing the DAG and calculating LLM responses for each node
in topological order, with the LLM's answer to final node directly translating
to environment actions. In our experiments, we study the quality of in-context
""reasoning"" induced by different forms of prompts under the setting of the
Crafter open-world environment. Our experiments suggest that LLMs, when
prompted with consistent chain-of-thought, have great potential in completing
sophisticated high-level trajectories. Quantitatively, SPRING with GPT-4
outperforms all state-of-the-art RL baselines, trained for 1M steps, without
any training. Finally, we show the potential of games as a test bed for LLMs.

    ",Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/pdf/2305.15486
9,Referred by Multi-Modality: A Unified Temporal Transformer for Video Object Segmentation,"['Shilin Yan', 'Renrui Zhang', 'Ziyu Guo', 'Wenchao Chen', 'Wei Zhang', 'Hongyang Li', 'Yu Qiao', 'Zhongjiang He', 'Peng Gao']","Abstract:  Recently, video object segmentation (VOS) referred by multi-modal signals,
e.g., language and audio, has evoked increasing attention in both industry and
academia. It is challenging for exploring the semantic alignment within
modalities and the visual correspondence across frames. However, existing
methods adopt separate network architectures for different modalities, and
neglect the inter-frame temporal interaction with references. In this paper, we
propose MUTR, a Multi-modal Unified Temporal transformer for Referring video
object segmentation. With a unified framework for the first time, MUTR adopts a
DETR-style transformer and is capable of segmenting video objects designated by
either text or audio reference. Specifically, we introduce two strategies to
fully explore the temporal relations between videos and multi-modal signals.
Firstly, for low-level temporal aggregation before the transformer, we enable
the multi-modal references to capture multi-scale visual cues from consecutive
video frames. This effectively endows the text or audio signals with temporal
knowledge and boosts the semantic alignment between modalities. Secondly, for
high-level temporal interaction after the transformer, we conduct inter-frame
feature communication for different object embeddings, contributing to better
object-wise correspondence for tracking along the video. On Ref-YouTube-VOS and
AVSBench datasets with respective text and audio references, MUTR achieves
+4.2% and +4.2% J&F improvements to state-of-the-art methods, demonstrating our
significance for unified multi-modal VOS. Code is released at
this https URL.

    ",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Multimedia (cs.MM),https://arxiv.org/pdf/2305.16318
